date,avito_shows,avito_views,avito_fav,avito_contacts,avito_spend,direct_search_shows,direct_search_clicks,direct_search_leads_form,direct_search_leads_msgr,direct_search_spend,direct_rsya_shows,direct_rsya_clicks,direct_rsya_leads_form,direct_rsya_leads_msgr,direct_rsya_spend,direct_mk_shows,direct_mk_clicks,direct_mk_leads_form,direct_mk_leads_msgr,direct_mk_spend,lenin_discovery,lenin_direct,lenin_photo,lenin_reviews,lenin_route,lenin_site,lenin_phone,teply_discovery,teply_direct,teply_photo,teply_reviews,teply_route,teply_site,teply_phone,gis_shows,gis_position,qual_avito,qual_direct,qual_maps,qual_gis,qual_organic,qual_tg,qual_other,sales_avito,sales_direct,sales_maps,sales_gis,sales_organic,sales_tg,sales_other,maps_leads,maps_calls,gis_leads,tg_button,tg_dm,direct_visits,seo_leads,referral_leads,unknown_leads
2026-06-15,4726,541,43,45,32358,2463,122,6,6,5827,6205,44,0,0,620,0,0,0,0,0,489,99,38,11,19,10,6,130,19,5,2,3,3,1,157,7,2,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
2026-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,1,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0
2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0
2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2026-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2026-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
2026-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
2026-06-22,4558,438,35,26,25553,2782,134,6,4,6071,6892,50,0,0,755,0,0,0,0,0,428,78,24,19,16,18,3,144,24,12,6,4,3,1,158,6,2,0,1,0,1,1,0,1,0,1,0,1,0,0,2,0,0,1,1,1,1,0,0
2026-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
2026-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
2026-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2026-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
2026-06-29,4354,488,39,33,25494,2804,130,11,5,5852,5519,39,0,0,564,0,0,0,0,0,416,92,32,22,15,16,1,141,25,5,2,4,3,0,266,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0
2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
2026-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1
2026-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
2026-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2026-07-06,6170,598,47,36,35939,3146,148,13,5,7173,8440,76,1,0,978,0,0,0,0,0,622,116,35,6,14,18,1,184,38,7,4,6,5,0,186,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
2026-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
2026-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0
2026-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
2026-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
